second,qps,success_rate,p50_ms,p95_ms,p99_ms,backends
118,239,1.0,132.7817919664085,155.70390410721302,167.53432294353843,qwen15b-npu3=9;qwen15b-npu4=75;qwen15b-npu6=77;qwen15b-npu7=78
119,233,1.0,135.58212108910084,157.81537909060717,162.24245820194483,qwen15b-npu3=8;qwen15b-npu4=76;qwen15b-npu6=74;qwen15b-npu7=75
120,242,1.0,134.86915593966842,150.6545110605657,155.06346011534333,qwen15b-npu3=8;qwen15b-npu4=80;qwen15b-npu6=77;qwen15b-npu7=77
121,239,1.0,134.35077294707298,150.4699201323092,156.2918988056481,qwen15b-npu3=7;qwen15b-npu4=77;qwen15b-npu6=77;qwen15b-npu7=78
122,241,1.0,133.72594816610217,155.25511093437672,158.40279310941696,qwen15b-npu3=10;qwen15b-npu4=78;qwen15b-npu6=76;qwen15b-npu7=77
123,242,1.0,134.17735137045383,150.22212825715542,156.17826720699668,qwen15b-npu3=7;qwen15b-npu4=76;qwen15b-npu6=79;qwen15b-npu7=80
124,234,1.0,135.27671759948134,156.85932198539376,161.12235002219677,qwen15b-npu3=8;qwen15b-npu4=77;qwen15b-npu6=73;qwen15b-npu7=76
125,245,1.0,132.57279992103577,154.88519938662648,162.84307232126594,qwen15b-npu3=8;qwen15b-npu4=80;qwen15b-npu6=82;qwen15b-npu7=75
126,238,1.0,135.43830905109644,155.82766523584723,163.047363050282,qwen15b-npu3=8;qwen15b-npu4=77;qwen15b-npu6=74;qwen15b-npu7=79
127,242,1.0,129.84464270994067,151.00762294605374,155.5041428655386,qwen15b-npu3=8;qwen15b-npu4=78;qwen15b-npu6=79;qwen15b-npu7=77
128,243,1.0,134.67741524800658,149.81847582384944,154.24028411507607,qwen15b-npu3=7;qwen15b-npu4=78;qwen15b-npu6=79;qwen15b-npu7=79
129,239,1.0,134.9731762893498,156.16724826395512,170.13577977195382,qwen15b-npu3=9;qwen15b-npu4=77;qwen15b-npu6=77;qwen15b-npu7=76
130,238,1.0,137.54790369421244,158.36291201412678,164.42513233050704,qwen15b-npu3=8;qwen15b-npu4=76;qwen15b-npu6=78;qwen15b-npu7=76
131,246,1.0,131.68266508728266,149.97423579916358,155.53882298991084,qwen15b-npu3=9;qwen15b-npu4=80;qwen15b-npu6=78;qwen15b-npu7=79
132,235,1.0,132.40994000807405,153.1022866256535,158.04190002381802,qwen15b-npu3=7;qwen15b-npu4=77;qwen15b-npu6=74;qwen15b-npu7=77
133,245,1.0,133.18364461883903,149.4007520377636,155.72106512263417,qwen15b-npu3=7;qwen15b-npu4=78;qwen15b-npu6=79;qwen15b-npu7=81
134,247,1.0,134.49576357379556,149.19693116098642,157.27872494608164,qwen15b-npu3=9;qwen15b-npu4=79;qwen15b-npu6=80;qwen15b-npu7=79
135,232,1.0,135.09210804477334,159.26626697182655,172.64850717037916,qwen15b-npu3=7;qwen15b-npu4=77;qwen15b-npu6=74;qwen15b-npu7=74
136,239,1.0,136.8052689358592,157.92358899489045,161.63310268893838,qwen15b-npu3=9;qwen15b-npu4=77;qwen15b-npu6=77;qwen15b-npu7=76
137,240,1.0,135.13328786939383,148.02940282970667,151.8519390374422,qwen15b-npu3=8;qwen15b-npu4=77;qwen15b-npu6=78;qwen15b-npu7=77
138,241,1.0,132.35415937379003,153.00296572968364,158.59021386131644,qwen15b-npu3=8;qwen15b-npu4=79;qwen15b-npu6=76;qwen15b-npu7=78
139,236,1.0,136.73318829387426,156.67024115100503,163.5994971729815,qwen15b-npu3=5;qwen15b-npu4=75;qwen15b-npu6=77;qwen15b-npu7=79
140,240,1.0,134.29859187453985,152.79690502211452,157.87080908194184,qwen15b-npu3=10;qwen15b-npu4=77;qwen15b-npu6=75;qwen15b-npu7=78
141,241,1.0,133.96690040826797,150.5701499991119,155.25302104651928,qwen15b-npu3=9;qwen15b-npu4=79;qwen15b-npu6=78;qwen15b-npu7=75
142,242,1.0,132.30531895533204,148.74569838866591,154.59949616342783,qwen15b-npu3=8;qwen15b-npu4=77;qwen15b-npu6=79;qwen15b-npu7=78
143,249,1.0,129.66224132105708,146.7553749680519,148.77854892984033,qwen15b-npu3=8;qwen15b-npu4=80;qwen15b-npu6=81;qwen15b-npu7=80
144,243,1.0,131.51137437671423,153.71105121448636,159.88711221143603,qwen15b-npu3=8;qwen15b-npu4=78;qwen15b-npu6=78;qwen15b-npu7=79
145,245,1.0,133.88842903077602,146.75251534208655,148.83118914440274,qwen15b-npu3=8;qwen15b-npu4=81;qwen15b-npu6=79;qwen15b-npu7=77
146,236,1.0,130.8627286925912,149.0078503265977,152.10680989548564,qwen15b-npu3=8;qwen15b-npu4=77;qwen15b-npu6=74;qwen15b-npu7=77
147,246,1.0,134.19026136398315,147.87320187315345,152.53942273557186,qwen15b-npu3=7;qwen15b-npu4=79;qwen15b-npu6=79;qwen15b-npu7=81
148,248,1.0,130.29541494324803,148.3432548120618,152.35573193058372,qwen15b-npu3=7;qwen15b-npu4=79;qwen15b-npu6=83;qwen15b-npu7=79
149,244,1.0,130.36083616316319,146.01913979277015,148.80585810169578,qwen15b-npu3=11;qwen15b-npu4=79;qwen15b-npu6=77;qwen15b-npu7=77
150,242,1.0,133.4585160948336,152.1190106868744,162.13689697906375,qwen15b-npu3=7;qwen15b-npu4=79;qwen15b-npu6=77;qwen15b-npu7=79
151,241,1.0,132.79469311237335,147.87077205255628,151.7944778315723,qwen15b-npu3=9;qwen15b-npu4=77;qwen15b-npu6=78;qwen15b-npu7=77
152,246,1.0,130.46444579958916,146.25429082661867,150.5602402612567,qwen15b-npu3=7;qwen15b-npu4=81;qwen15b-npu6=78;qwen15b-npu7=80
153,246,1.0,128.9558969438076,149.99452605843544,155.13964043930173,qwen15b-npu3=9;qwen15b-npu4=78;qwen15b-npu6=80;qwen15b-npu7=79
154,245,1.0,131.85573602095246,151.17272362113,154.2927948758006,qwen15b-npu3=7;qwen15b-npu4=79;qwen15b-npu6=78;qwen15b-npu7=81
155,238,1.0,132.5324298813939,148.74011790379882,155.19308112561703,qwen15b-npu3=8;qwen15b-npu4=76;qwen15b-npu6=78;qwen15b-npu7=76
156,243,1.0,135.78905211761594,152.45361300185323,158.49172184243798,qwen15b-npu3=9;qwen15b-npu4=79;qwen15b-npu6=78;qwen15b-npu7=77
157,241,1.0,133.19583516567945,146.7536250129342,155.80994496122003,qwen15b-npu3=8;qwen15b-npu4=77;qwen15b-npu6=79;qwen15b-npu7=77
158,243,1.0,132.23785813897848,149.61748430505395,155.31164221465588,qwen15b-npu3=8;qwen15b-npu4=79;qwen15b-npu6=76;qwen15b-npu7=80
